,index,description,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
6191,6191,"Temporomandibular joint disorder, unspecified",phecode-526.41-both_sexes.tsv,0,0,0,0,0,0,2.685233377832629e-07,1.0,True,0.2,500,
6192,6192,Inflammatory conditions of jaw,phecode-526.5-both_sexes.tsv,0,0,0,0,0,0,5.337957197051034e-07,1.0,True,0.2,500,
6193,6193,Jaw disease NOS,phecode-526.9-both_sexes.tsv,0,0,0,0,0,0,2.870947871018475e-07,1.0,True,0.2,500,
6195,6195,Sialoadenitis,phecode-527.2-both_sexes.tsv,0,0,0,0,0,0,3.4027909652787165e-07,1.0,True,0.2,500,
6196,6196,Other specified diseases of the salivary glands,phecode-527.8-both_sexes.tsv,0,0,0,0,0,0,3.3671803948229e-07,1.0,True,0.2,500,
6198,6198,Stomatitis and mucositis,phecode-528.1-both_sexes.tsv,0,0,0,0,0,0,3.4787340946630215e-07,1.0,True,0.2,500,
6199,6199,Stomatitis and mucositis (ulcerative),phecode-528.11-both_sexes.tsv,0,0,0,0,0,0,3.448407170956473e-07,1.0,True,0.2,500,
6200,6200,Cellulitis and abscess of oral soft tissues,phecode-528.3-both_sexes.tsv,0,0,0,0,0,0,3.732383222116301e-07,1.0,True,0.2,500,
6201,6201,Cysts of oral soft tissues,phecode-528.4-both_sexes.tsv,0,0,0,0,0,0,3.404553003886923e-07,1.0,True,0.2,500,
6202,6202,Cyst of the salivary gland,phecode-528.41-both_sexes.tsv,0,0,0,0,0,0,3.292688447073276e-07,1.0,True,0.2,500,
6203,6203,Diseases of lips,phecode-528.5-both_sexes.tsv,0,0,0,0,0,0,3.54360757818139e-07,1.0,True,0.2,500,
6204,6204,Leukoplakia of oral mucosa,phecode-528.6-both_sexes.tsv,0,0,0,0,0,0,4.0942645579442043e-07,1.0,True,0.2,500,
6205,6205,Sialolithiasis,phecode-528.7-both_sexes.tsv,0,0,0,0,0,0,3.511662125291721e-07,1.0,True,0.2,500,
6207,6207,Glossitis,phecode-529.1-both_sexes.tsv,0,0,0,0,1,0,3.367392820682188e-07,1.0,True,0.2,500,
6209,6209,"Esophagitis, GERD and related diseases",phecode-530.1-both_sexes.tsv,12,9,4,9,12,3,4.2533179735993285e-07,0.75,True,0.2,500,
6210,6210,GERD,phecode-530.11-both_sexes.tsv,4,3,0,1,1,0,4.912683633613138e-07,1.0,True,0.2,500,
6211,6211,Ulcer of esophagus,phecode-530.12-both_sexes.tsv,2,0,0,1,1,0,6.03327097942321e-07,1.0,True,0.2,500,
6212,6212,Reflux esophagitis,phecode-530.14-both_sexes.tsv,0,0,0,0,0,0,6.033268645369398e-07,1.0,True,0.2,500,
6213,6213,Esophageal bleeding (varices/hemorrhage),phecode-530.2-both_sexes.tsv,3,3,0,0,0,0,4.911427171842552e-07,1.0,True,0.2,500,
6214,6214,Stricture and stenosis of esophagus,phecode-530.3-both_sexes.tsv,0,0,0,0,0,0,4.912550194323852e-07,1.0,True,0.2,500,
6215,6215,Disorders of esophageal motility,phecode-530.5-both_sexes.tsv,0,0,0,0,0,0,4.911430196814119e-07,1.0,True,0.2,500,
6216,6216,"Diverticulum of esophagus, acquired",phecode-530.6-both_sexes.tsv,0,0,0,0,0,0,4.911429569598086e-07,1.0,True,0.2,500,
6217,6217,Gastroesophageal laceration-hemorrhage syndrome,phecode-530.7-both_sexes.tsv,0,0,0,0,0,0,4.032021786905201e-07,1.0,True,0.2,500,
6218,6218,Heartburn,phecode-530.9-both_sexes.tsv,1,0,0,0,0,0,4.260787744743749e-07,1.0,True,0.2,500,
6220,6220,Hemorrhage from gastrointestinal ulcer,phecode-531.1-both_sexes.tsv,0,0,0,0,0,0,3.500608428591227e-07,1.0,True,0.2,500,
6221,6221,Gastric ulcer,phecode-531.2-both_sexes.tsv,0,0,0,0,0,0,4.135092053141842e-07,1.0,True,0.2,500,
6222,6222,Duodenal ulcer,phecode-531.3-both_sexes.tsv,2,1,1,2,2,1,4.857182150169274e-07,1.0,True,0.2,500,
6223,6223,"Peptic ulcer, site unspecified",phecode-531.4-both_sexes.tsv,0,0,0,0,0,0,3.829056059242076e-07,1.0,True,0.2,500,
6226,6226,Acute gastritis,phecode-535.1-both_sexes.tsv,0,0,0,0,0,0,3.797729954503061e-07,1.0,True,0.2,500,
